City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temperature,Wind Speed
Ciudad de Armería,MX,18.93,-103.97,1591708757.0,40.0,83.0,73.4,1.66
Boa Vista,BR,2.82,-60.67,1591708757.0,75.0,83.0,77.0,4.7
Bubaque,GW,11.28,-15.83,1591708757.0,15.0,76.0,80.98,5.79
Arawa,PG,-6.21,155.54,1591708757.0,100.0,79.0,78.35,1.63
San Jose,US,37.34,-121.89,1591708607.0,0.0,68.0,55.0,1.32
Poselki,RU,53.13,46.5,1591708758.0,51.0,57.0,72.0,4.68
Esfarāyen,IR,37.08,57.51,1591708508.0,0.0,15.0,86.0,2.24
Mīnāb,IR,27.15,57.08,1591708758.0,20.0,60.0,96.8,11.41
Leningradskiy,RU,69.38,178.42,1591708758.0,88.0,75.0,43.59,11.03
Baruun-Urt,MN,46.68,113.28,1591708758.0,100.0,26.0,63.9,9.24
Mossendjo,CG,-2.95,12.73,1591708758.0,100.0,79.0,75.9,4.09
Magnor,SE,59.95,12.2,1591708758.0,75.0,67.0,64.99,8.05
Kuloy,RU,61.03,42.49,1591708758.0,48.0,45.0,81.48,8.84
Maningrida,AU,-12.07,134.27,1591708758.0,94.0,75.0,75.58,11.88
Nhulunbuy,AU,-12.23,136.77,1591708759.0,98.0,83.0,77.0,8.05
Asău,RO,46.43,26.4,1591708759.0,100.0,59.0,75.99,3.74
Angoram,PG,-4.06,144.07,1591708759.0,71.0,93.0,75.85,0.49
Severo-Yeniseyskiy,RU,60.37,93.04,1591708759.0,18.0,61.0,50.68,6.15
Soe,ID,-9.86,124.28,1591708759.0,56.0,100.0,65.44,3.85
Maridi,SS,4.92,29.47,1591708759.0,100.0,86.0,78.08,1.72
Alta Gracia,AR,-31.65,-64.43,1591708759.0,75.0,87.0,54.0,2.24
Kartaly,RU,53.05,60.65,1591708759.0,0.0,28.0,80.42,10.11
Outlook,CA,51.5,-107.05,1591708759.0,86.0,85.0,48.0,3.0
Juventino Rosas,MX,20.65,-101.0,1591708759.0,75.0,93.0,61.0,5.82
Kaitangata,NZ,-46.28,169.85,1591708759.0,100.0,52.0,52.0,12.15
Cap Malheureux,MU,-19.98,57.61,1591708760.0,0.0,68.0,72.0,8.99
Qiyang,CN,26.59,111.85,1591708760.0,100.0,90.0,78.04,2.93
Korla,CN,41.76,86.15,1591708709.0,100.0,63.0,75.0,5.01
Virginia Beach,US,36.85,-75.98,1591708201.0,40.0,74.0,78.8,10.29
Gal'bshtadt,RU,53.23,78.98,1591708760.0,8.0,53.0,69.8,14.45
Balikpapan,ID,-1.27,116.83,1591708760.0,99.0,83.0,81.28,11.27
Grindavik,IS,63.84,-22.43,1591708760.0,75.0,71.0,50.0,10.29
Yaan,NG,7.38,8.57,1591708760.0,99.0,64.0,85.51,7.78
Muroto-misakicho,JP,33.28,134.15,1591708760.0,100.0,90.0,70.41,8.79
Nikol'sk,RU,53.72,46.07,1591708761.0,85.0,67.0,70.18,3.47
Turukhansk,RU,65.82,87.98,1591708761.0,100.0,50.0,52.9,11.74
Olinda,BR,-8.01,-34.86,1591708761.0,75.0,74.0,82.4,8.05
Nizwá,OM,22.93,57.53,1591708762.0,96.0,22.0,98.51,13.24
Te Anau,NZ,-45.42,167.72,1591708762.0,99.0,85.0,44.87,3.83
Prince Rupert,CA,54.32,-130.32,1591708563.0,90.0,66.0,51.8,6.93
Ascension,US,30.22,-90.9,1591708763.0,90.0,88.0,81.0,12.75
Chapais,CA,49.78,-74.85,1591708661.0,1.0,53.0,50.0,4.7
Kirkwall,GB,58.98,-2.96,1591708718.0,20.0,76.0,53.6,18.34
Halifax,CA,44.65,-63.57,1591708588.0,4.0,56.0,57.0,1.01
Sal Rei,CV,16.18,-22.92,1591708764.0,40.0,65.0,82.4,9.17
Kyaikto,MM,17.3,97.02,1591708764.0,99.0,85.0,80.33,7.34
Mudgee,AU,-32.59,149.59,1591708764.0,75.0,100.0,52.0,3.36
Liverpool,GB,53.41,-2.98,1591708764.0,40.0,63.0,64.99,2.24
Lüderitz,NA,-26.65,15.16,1591708764.0,0.0,68.0,66.2,16.11
Kawalu,ID,-7.38,108.21,1591708764.0,97.0,93.0,73.8,1.97
Kushmurun,KZ,52.45,64.63,1591708764.0,85.0,26.0,83.55,12.41
Havøysund,NO,71.0,24.66,1591708764.0,75.0,67.0,42.8,10.29
Nur,PL,52.67,22.32,1591708765.0,94.0,80.0,64.99,5.01
Richards Bay,ZA,-28.78,32.04,1591708585.0,0.0,45.0,78.8,13.49
Staraya Poltavka,RU,50.48,46.48,1591708765.0,62.0,46.0,80.53,5.08
Locri,IT,38.24,16.26,1591708765.0,0.0,42.0,82.4,13.87
São Filipe,CV,14.9,-24.5,1591708765.0,16.0,84.0,74.17,2.66
Mazatlan,MX,25.2,-99.82,1591708765.0,23.0,65.0,80.83,2.15
Meadow Lake,US,34.8,-106.54,1591708766.0,1.0,31.0,53.01,13.87
Burley,US,42.54,-113.79,1591708629.0,1.0,56.0,44.6,6.93
Ulladulla,AU,-35.35,150.47,1591708766.0,100.0,100.0,51.8,6.93
Weligama,LK,5.97,80.42,1591708766.0,100.0,85.0,81.23,10.07
Primorsko,BG,42.27,27.77,1591708766.0,20.0,65.0,78.8,17.22
Lorengau,PG,-2.02,147.27,1591708766.0,69.0,83.0,81.73,8.34
General Roca,AR,-39.03,-67.58,1591708766.0,0.0,80.0,35.6,2.24
Umeå,SE,63.83,20.26,1591708766.0,0.0,41.0,60.8,11.41
Liku,ID,-0.73,119.89,1591708766.0,88.0,85.0,75.92,3.04
Hong Kong,HK,22.29,114.16,1591708766.0,100.0,82.0,84.99,4.0
Key West,US,24.56,-81.78,1591708600.0,20.0,74.0,87.8,9.17
Blagoyevo,RU,63.37,47.92,1591708767.0,4.0,37.0,83.23,11.83
Vila Velha,BR,-20.33,-40.29,1591708561.0,0.0,78.0,78.01,11.41
Esperance,AU,-33.87,121.9,1591708767.0,0.0,54.0,57.2,8.05
Olafsvik,IS,64.89,-23.71,1591708767.0,34.0,75.0,46.96,9.08
Malanje,AO,-9.54,16.34,1591708767.0,0.0,22.0,86.41,4.14
Victor Harbor,AU,-35.57,138.62,1591708767.0,98.0,78.0,46.99,5.03
Iralaya,HN,15.0,-83.23,1591708767.0,46.0,94.0,78.8,10.33
Gariāband,IN,20.64,82.06,1591708746.0,40.0,83.0,82.4,5.82
Buala,SB,-8.14,159.59,1591708767.0,96.0,79.0,81.99,7.45
Talcahuano,CL,-36.72,-73.12,1591708768.0,75.0,100.0,42.8,3.36
Latur,IN,18.4,76.58,1591708768.0,59.0,41.0,90.93,7.29
Turki,RU,51.99,43.27,1591708768.0,36.0,60.0,74.64,5.55
Vilyuysk,RU,63.76,121.62,1591708768.0,100.0,80.0,57.38,7.74
Porto Santo,PT,33.07,-16.34,1591708768.0,40.0,60.0,68.0,12.75
Vanimo,PG,-2.67,141.3,1591708768.0,100.0,80.0,78.91,2.44
Tiznit Province,MA,29.58,-9.5,1591708768.0,0.0,44.0,76.46,12.77
Meridian,US,43.61,-116.39,1591708578.0,90.0,87.0,52.0,4.7
Okato,NZ,-39.2,173.88,1591708768.0,0.0,81.0,44.01,5.99
Nacala,MZ,-14.54,40.67,1591708768.0,75.0,51.0,82.4,16.11
Dembī Dolo,ET,8.53,34.8,1591708769.0,75.0,91.0,67.35,4.25
Sharan,RU,54.82,54.0,1591708769.0,9.0,72.0,71.55,13.06
Koslan,RU,63.46,48.9,1591708769.0,3.0,38.0,82.51,11.97
Constantine,DZ,36.37,6.61,1591708769.0,40.0,46.0,73.4,10.29
Mount Darwin,ZW,-16.77,31.58,1591708769.0,30.0,26.0,77.22,6.4
Beloha,MG,-25.17,45.05,1591708769.0,0.0,43.0,77.31,12.08
George Town,MY,5.41,100.34,1591708730.0,20.0,79.0,86.0,5.82
Florianópolis,BR,-27.61,-48.5,1591708769.0,89.0,73.0,71.6,4.7
Najrān,SA,17.49,44.13,1591708769.0,20.0,12.0,100.4,6.93
Yakima,US,46.47,-120.67,1591708600.0,90.0,87.0,52.0,4.7
Meulaboh,ID,4.14,96.13,1591708770.0,100.0,76.0,81.14,1.79
Kungurtug,RU,50.6,97.52,1591708770.0,100.0,85.0,45.72,2.59
Atar,MR,20.52,-13.05,1591708770.0,70.0,24.0,100.4,19.46
Dawei,MM,14.08,98.2,1591708770.0,100.0,87.0,78.85,3.98
Portland,US,45.52,-122.68,1591708564.0,100.0,94.0,53.01,6.76
La Ronge,CA,55.1,-105.28,1591708770.0,75.0,81.0,48.2,8.05
Sept-Îles,CA,50.2,-66.38,1591708770.0,40.0,43.0,50.0,5.82
Kisangani,CD,0.52,25.2,1591708770.0,93.0,45.0,90.68,2.39
Santa Cruz Cabrália,BR,-16.28,-39.02,1591708730.0,40.0,74.0,78.8,3.36
Flinders,AU,-34.58,150.86,1591708771.0,97.0,94.0,52.0,3.74
Yuci,CN,37.68,112.73,1591708771.0,100.0,38.0,77.0,8.95
Cairns,AU,-16.92,145.77,1591708771.0,75.0,88.0,69.8,10.29
Oranjemund,NA,-28.55,16.43,1591708771.0,0.0,57.0,67.26,23.62
Batetskiy,RU,58.65,30.3,1591708771.0,100.0,44.0,84.4,4.76
Chumikan,RU,54.72,135.31,1591708771.0,100.0,96.0,35.82,6.33
Vallenar,CL,-28.57,-70.76,1591708771.0,97.0,25.0,67.96,1.59
Saint Andrews,US,34.05,-81.13,1591708477.0,90.0,83.0,80.01,4.7
Miraflores,MX,19.22,-98.81,1591708771.0,40.0,82.0,59.0,4.7
Lafia,NG,8.48,8.52,1591708772.0,100.0,55.0,89.67,8.84
Bay Roberts,CA,47.6,-53.26,1591708772.0,90.0,100.0,46.99,8.05
Gulu,UG,2.77,32.3,1591708772.0,99.0,85.0,74.48,1.66
Novoil'insk,RU,51.68,108.71,1591708772.0,71.0,41.0,55.72,1.86
Salalah,OM,17.02,54.09,1591708665.0,75.0,84.0,87.8,11.41
Enshi,CN,30.3,109.48,1591708772.0,5.0,84.0,74.26,2.01
Invermere,CA,50.52,-116.04,1591708772.0,0.0,72.0,42.98,3.74
Sidi Ali,DZ,36.1,0.42,1591708772.0,0.0,51.0,71.38,11.32
Terrace,CA,54.52,-128.6,1591708772.0,75.0,81.0,44.6,6.93
Alugan,PH,12.22,125.48,1591708773.0,100.0,85.0,81.41,7.7
Otradnoye,RU,59.78,30.82,1591708574.0,95.0,50.0,89.01,11.18
Jinchang,CN,38.5,102.17,1591708773.0,100.0,27.0,70.14,8.63
Kalmunai,LK,7.42,81.82,1591708773.0,100.0,70.0,87.08,2.04
Kyakhta,RU,50.35,106.45,1591708773.0,45.0,48.0,56.05,4.41
Souillac,MU,-20.52,57.52,1591708773.0,75.0,64.0,73.4,14.99
Tuy Hoa,VN,13.08,109.3,1591708773.0,1.0,85.0,81.46,5.95
Taksimo,RU,56.34,114.88,1591708773.0,100.0,59.0,52.47,4.68
Langsa,ID,4.47,97.97,1591708773.0,71.0,88.0,79.57,2.19
Gumdag,TM,39.21,54.59,1591708773.0,0.0,8.0,98.96,13.71
Bethanien,NA,-26.5,17.16,1591708774.0,0.0,18.0,76.91,25.08
Norman Wells,CA,65.28,-126.83,1591708774.0,75.0,70.0,48.2,14.99
Port Hedland,AU,-20.32,118.57,1591708774.0,0.0,72.0,66.2,5.82
Amahai,ID,-3.33,128.92,1591708774.0,99.0,86.0,84.0,9.86
Saint-Pierre,RE,-21.34,55.48,1591708774.0,75.0,73.0,71.6,19.46
Nefteyugansk,RU,61.1,72.6,1591708598.0,39.0,47.0,77.0,6.71
Fairbanks,US,64.84,-147.72,1591708774.0,90.0,76.0,55.4,5.82
Rawlins,US,41.79,-107.24,1591708774.0,1.0,69.0,39.99,10.29
Iquitos,PE,-3.75,-73.25,1591708774.0,75.0,100.0,73.4,2.24
Ternate,ID,0.8,127.4,1591708775.0,100.0,77.0,82.45,7.78
Khovd,MN,48.01,91.64,1591708775.0,0.0,25.0,67.84,18.14
Sisimiut,GL,66.94,-53.67,1591708775.0,98.0,86.0,37.99,9.17
Enid,US,36.4,-97.88,1591708627.0,1.0,100.0,78.01,11.41
Santa Rosa,PH,14.31,121.11,1591708775.0,20.0,66.0,87.8,3.36
Faya,SA,18.39,42.45,1591708775.0,75.0,34.0,82.4,11.41
Port Pirie,AU,-33.18,138.02,1591708775.0,2.0,55.0,35.6,5.82
Nouadhibou,MR,20.93,-17.03,1591708776.0,0.0,48.0,87.8,13.87
Ketchikan,US,55.34,-131.65,1591708776.0,75.0,93.0,55.4,5.97
Porto-Novo,BJ,6.5,2.6,1591708776.0,40.0,65.0,82.4,12.75
Kondinskoye,RU,59.65,67.41,1591708776.0,91.0,41.0,82.38,5.64
Lianran,CN,24.92,102.48,1591708776.0,20.0,68.0,75.0,8.95
Bartica,GY,6.4,-58.62,1591708776.0,75.0,88.0,78.8,4.7
Roald,NO,62.58,6.13,1591708776.0,20.0,66.0,57.0,13.87
Ialibu,PG,-6.28,143.99,1591708776.0,100.0,98.0,58.37,2.15
Illapel,CL,-31.63,-71.17,1591708776.0,51.0,47.0,55.6,1.36
Limbang,MY,4.75,115.0,1591708776.0,75.0,78.0,82.4,4.7
Marawi,PH,8.0,124.29,1591708777.0,100.0,86.0,79.0,5.99
Karpogory,RU,64.0,44.45,1591708777.0,0.0,38.0,85.14,12.86
Jalu,LY,29.03,21.55,1591708777.0,0.0,9.0,108.95,5.44
Springfield,US,37.22,-93.3,1591708520.0,75.0,94.0,73.99,12.75
Cedar City,US,37.68,-113.06,1591708777.0,1.0,55.0,35.6,2.84
Youghal,IE,51.95,-7.85,1591708777.0,75.0,66.0,57.99,5.82
Maceió,BR,-9.67,-35.74,1591708567.0,90.0,94.0,75.2,6.93
Saint John,CA,45.27,-66.07,1591708557.0,90.0,81.0,55.0,4.7
Teluk Nibung,ID,3.0,99.82,1591708777.0,27.0,85.0,82.13,6.69
Sabzawār,IR,36.21,57.68,1591708498.0,0.0,9.0,93.2,11.41
Humberto de Campos,BR,-2.6,-43.46,1591708778.0,19.0,72.0,84.72,3.33
Karpathos,GR,35.51,27.21,1591708778.0,0.0,69.0,77.0,10.29
Marzuq,YE,14.4,46.47,1591708778.0,91.0,10.0,96.13,4.16
Blahodatne,UA,50.66,24.25,1591708778.0,84.0,69.0,75.79,5.7
Laas,IT,46.62,10.7,1591708778.0,40.0,62.0,57.2,6.93
Inírida,CO,3.87,-67.92,1591708778.0,92.0,89.0,76.08,1.05
Detva,SK,48.56,19.42,1591708778.0,75.0,64.0,69.8,1.12
Hirara,JP,24.8,125.28,1591708778.0,100.0,78.0,80.94,15.26
Port Lincoln,AU,-34.73,135.87,1591708778.0,0.0,62.0,51.1,4.07
Xiuyan,CN,40.29,123.27,1591708779.0,100.0,75.0,63.9,2.35
Aljezur,PT,37.32,-8.8,1591708779.0,1.0,61.0,73.99,14.65
Siocon,PH,7.71,122.14,1591708779.0,100.0,80.0,80.2,3.22
Chengde,CN,40.97,117.94,1591708779.0,93.0,82.0,65.7,0.94
Khani,GE,41.96,42.96,1591708779.0,69.0,43.0,87.8,13.87
Vostok,RU,46.49,135.88,1591708779.0,100.0,96.0,61.18,6.44
Hambantota,LK,6.12,81.12,1591708779.0,40.0,63.0,91.4,13.87
Mehamn,NO,71.04,27.85,1591708779.0,75.0,65.0,44.6,10.29
Bikin,RU,46.82,134.26,1591708780.0,100.0,92.0,67.59,6.62
Cockburn Town,TC,21.46,-71.14,1591708780.0,100.0,79.0,80.44,12.46
Mezen',RU,65.85,44.24,1591708780.0,99.0,60.0,76.57,9.66
Yerbogachën,RU,61.28,108.01,1591708780.0,99.0,82.0,55.49,5.17
Rumoi,JP,43.93,141.64,1591708780.0,100.0,81.0,58.57,3.33
Zatoka,UA,46.07,30.47,1591708780.0,66.0,50.0,78.8,11.18
Sonoita,MX,31.85,-112.83,1591708780.0,0.0,17.0,64.0,11.61
Carmarthen,GB,51.86,-4.31,1591708780.0,100.0,77.0,60.01,6.93
Anuradhapura,LK,8.36,80.42,1591708781.0,100.0,74.0,82.13,11.21
Paita,PE,-5.09,-81.11,1591708781.0,89.0,64.0,71.6,21.92
Sakata,JP,38.92,139.85,1591708781.0,0.0,77.0,68.0,2.24
Badou,TG,7.58,0.6,1591708782.0,94.0,74.0,81.34,6.46
Kutum,SD,14.2,24.67,1591708782.0,64.0,9.0,99.7,10.56
Nova Russas,BR,-4.71,-40.56,1591708783.0,95.0,73.0,80.69,3.89
Novo Aripuanã,BR,-5.12,-60.38,1591708783.0,0.0,64.0,84.92,1.41
Rensvik,NO,63.1,7.82,1591708783.0,20.0,54.0,55.4,8.05
Gunjur,GM,13.2,-16.73,1591708784.0,75.0,62.0,87.8,11.41
Abu Dhabi,AE,24.47,54.37,1591708670.0,20.0,50.0,96.8,10.29
Huarmey,PE,-10.07,-78.15,1591708785.0,100.0,79.0,64.24,5.48
Tabuk,PH,17.42,121.44,1591708785.0,99.0,87.0,77.18,4.29
